venue,venue_id,reviews,user_id,user_name,ratings
George's Fine Chinese Food Restaurant,v-qXrnB1hGb6fZ16OmkDpA,Best Chinese food in the city! Their combo plates are to die for and the owners are the best.,Vn7uL_ZwIPZa5hj1_OyFKA,Rick D.,5.0
George's Fine Chinese Food Restaurant,v-qXrnB1hGb6fZ16OmkDpA,"As a New Yorker, I recently discovered George's Fine Chinese Food while in Canada for a wedding. Their General Tso's? It's a flavor powerhouse that...",1suhPvF36IBfRHT63gxczg,Karl D.,5.0
George's Fine Chinese Food Restaurant,v-qXrnB1hGb6fZ16OmkDpA,Just went to order take out and had the rudest service I have ever had. Older women took our order and when we raised a concern about our food (pie) because...,HPHmYfN4-_vvS1tNuaIzzg,Rebecca D.,1.0
Coffee Culture,X5C-X9uUM2QxlhutrFiW-w,never go wrong with a coffee culture! i love the coffee and the big mugs that come with it if you dine in cafe,D3IPp2DWtGSrA2GCE7CAmA,Maja B.,3.0
Coffee Culture,X5C-X9uUM2QxlhutrFiW-w,"Came here to meet with a friend for coffee while our babes slept. 
Being to a many coffee cultures in the past, going into this one for the first time, I...",ZNAAVGPmblHEvR-kP__1DQ,Chrissy W.,4.0
Coffee Culture,X5C-X9uUM2QxlhutrFiW-w,"Love this place, the staff, the owner... Everything! Food and drinks are always yummy. Thanks!",lWFn3mEUnoy3oUeZPFvqYA,AJ G.,5.0
Coffee Culture,zacWYq2goi3iT0i5FmUHHw,"Take out order of 3 dishes, as an overall impression they were barely edible. Instead of freshness and flavor the foods tasted and looked like leftover...",8lfmnt4OknXZ9WSqyxbO1g,Simon R.,1.0
Coffee Culture,zacWYq2goi3iT0i5FmUHHw,The Chinese owner of this restaurant said that when she came to Canada she was surprised to see that the Chinese restaurants here didn't represent the food...,odG2y30ctH1tQG7rvBx6zA,Stan S.,5.0
Java Jax,MPgRsTIKu0Q_Z8-TUk5GKg,The food is so good here. The meal selection is limited because the majority of the menu is home made. The desserts are to die for. Try to pressed coffee as...,bj99tbbusD5gS_FBUkPnFQ,Kay M.,5.0
EVO Kitchen,Yhhqkgen1E-0IejbsqAI_g,"This spacious, trendy, hip bar and restaurant is located in downtown Cambridge Ontario. A local establishment since 2010. It has a large dining space as...",4gEpwxt0E2gRV0F59CPWKw,Jo C.,5.0
EVO Kitchen,Yhhqkgen1E-0IejbsqAI_g,Within 2 hours the server only saw us twice. No one checked In to see how the food was. Had to wait 40 minutes between each order I...,kTFLXdlTxf2x4v_W9TrRLA,Amy A.,2.0
EVO Kitchen,Yhhqkgen1E-0IejbsqAI_g,"So when Evo opened, we went a few times. Food was fantastic, service was amazing and the ambiance perfect. I took two friends to enjoy this place as much as...",cEVM_5rEbq6BK9Wup9w_xQ,Marie F.,1.0
Ivey's Restaurant,rv-ZQV3xvMR7v8-H75VzCg,"ivey's is a family-owned restaurant that's been around for 12 years.  the exterior and interior are distinctly yellow, green, and black, asserting that the...",LynQaiz-fSMPFfUwDoUjLQ,Kevin S.,5.0
Ivey's Restaurant,rv-ZQV3xvMR7v8-H75VzCg,"Great people, great tasting food. Love it here.  Jerk chicken is my go to, but their oxtail is to die for.",NVTFygAxE3A-z6ZmOIsC0w,Derrick K.,5.0
Ivey's Restaurant,rv-ZQV3xvMR7v8-H75VzCg,"Ivey's is Great

 It is Yellow and Green  like its countries colours .

 You could easily drive by and not notice this place.

  When I first walked thru...",e0hMAC-kr2iZ0cNN1yuj_A,Garth N.,4.0
Grand Cafe,ZDJrXFt2qKJQ1J6mWPhKvw,"What a popping cafe! Patio was fully seated on a Sunday afternoon. We ordered an iced americano and an ice latte. The americano was very nice and smooth,...",P7YuMh74-I2cDq7oU8frww,Shannon C.,4.0
Grand Cafe,ZDJrXFt2qKJQ1J6mWPhKvw,"Small and intimate size with great drinks. Had a fantastic Chai Latte, sipping it by the expansive front windows, looking at the 2 churches that are a...",3W-DTE1XICEMUXDwAy0wWQ,Mike R.,4.0
Grand Cafe,ZDJrXFt2qKJQ1J6mWPhKvw,"Nice little cozy cafe near the river. The lattes here are very good, and the brownies are delicious. Don't be afraid to check this place out and relax there...",Duhy1-3YL7SOrThDh0vI7g,Braden K.,4.0
Cambridge City Hall,q_fOCKx8V_Kgmpq0lGbPXg,"Downtown Galt is a quaint, charming, cozy historic city center of Cambridge. The impressive stone mason architecture dates back 150-200 years and has been...",ZjtIyvR0LDTo4rx4C0ZEgw,Bill R.,5.0
Melville Café,ZUGWS7dFd9jnk9ELeybrtg,This is cafe with a view. Wonderful spot. Cafe latte was just good but the croissant and the chicken caeser wrap was too good. The wrap has bacon in it...,qwsZWhs3BCzlOW3dder5aw,Stefi P.,4.0
Melville Café,ZUGWS7dFd9jnk9ELeybrtg,"I ordered two pizza,s to go, the other night. For as many years, as Melville has been opened, I have loved them. This time, however, I found that the crust...",rASJkBf59j1uw4Mk-sgckQ,Josie T.,2.0
Melville Café,ZUGWS7dFd9jnk9ELeybrtg,"Overpriced not very good food. I had the chicken Cesar wrap, nothing special as well as the chocolate cheesecake and asked for my money back. It was very...",CilZtnYWp6f8SLDwIphYFQ,Scott B.,1.0
Ming's Restaurant,7B-ztbOX82F0Smq5pWIrfw,"Aug 31 2022

Just ordered take out Chinese food from this place. I've been in Cambridge 10 yrs and have ordered from many places and had varying results,but...",fH32pzfID-qhFsen5fiYDQ,Md J.,1.0
Ming's Restaurant,7B-ztbOX82F0Smq5pWIrfw,"My husband and I are new to the area, I googled chinese foods and came up with quite a list.  I called 1 place and couldn't get what we were looking for.  I...",DRE9WZYeWvojSqkwCWFKMw,Christine C.,4.0
Ming's Restaurant,7B-ztbOX82F0Smq5pWIrfw,"This was our go to for a guilty non cook day, something we could eat over a couple days, for years. We always get takeout, have never ever complained about...",3g5mqEEaRtVWDc234L1YQg,Chris Y.,1.0
Bake Shop On Main,KUH8DvAJCLs_4jYkFjf6yQ,"Amazing baking with that homemade taste along with some unique choices like lavender cookies.  All ingredients are first quality.  Friendly staff, huge...",dbuwWeduNo1wNWnG07sA8g,Anne L.,5.0
Posto Pizzeria and Bar,S2uaTRS_3DOjrgaZogrQZg,They make really good pizzas. I first went here 8 years ago and loved it. I just came back yesterday and the pizzas are just as good. They have quite a...,z53uSRCr7BHaZ5Rmj03yCg,Mabel L.,5.0
Posto Pizzeria and Bar,S2uaTRS_3DOjrgaZogrQZg,We stumbled upon this during happy hour and it did not disappoint! Great pizza and excellent drink menu. We sat on the cute patio in the back. Service was...,sNRsYQzKYfdVhOkBW4Iz1A,Erin D.,5.0
Posto Pizzeria and Bar,S2uaTRS_3DOjrgaZogrQZg,"This is the kind of joint I'd normally enjoy in person, luxuriating in good food and conversation.  But, COVID has meant supporting local and trying new...",a76XohkwnNGxd7SC1VMgrw,Sunshine M.,5.0
Bridgette Bar,veeI8Kx2kAeQ8w-dNuUDoQ,"Lovely restaurant, but could only reserve a table at 4 pm in the bar area several days before. The bar area was fun and busy. It was a bit chilly sitting...",eqeT-4LSKvCjjF5E39-gkA,Karen D.,5.0
Bridgette Bar,veeI8Kx2kAeQ8w-dNuUDoQ,I regret that we didn't come here earlier and more hungry. The food here is outstanding. The pickle granita for the oysters was so innovative and tangy -...,LuqOtruvi7Bw2Re8M4r00Q,Shereen S.,4.0
Bridgette Bar,veeI8Kx2kAeQ8w-dNuUDoQ,"I went to many restaurants during my visit to Calgary and this restaurant is by far my favourite!

I was excited to eat here due to a recommendation and I...",6x435xUBuB0MrgIEcPv7gw,Helen L.,5.0
Donna Mac,Y-M8wU_mlMrSchrQJf90Ug,One of the better restaurants I've found in Calgary! We only got the croquettes (which were good) and the perogies (which were great).,nQY2ZYoc-eR6FAP1LkuYFQ,Naomi J.,5.0
Donna Mac,Y-M8wU_mlMrSchrQJf90Ug,"It was my family's first visit to Donna Mac for a special occasion. Unfortunately for us, I think we showed up on a bad day? We came as the reviews were...",j5lYFQVOnpLGwxnhHjMvsg,Angelique T.,2.0
Donna Mac,Y-M8wU_mlMrSchrQJf90Ug,"My previous GM at Anju opened this restaurant years ago and it is the first time I tried it. Definitely glad I did, as the service and food was amazing. The...",LNVgg7Eq-WS-xBzfVZGHxg,Vanessa M.,4.0
The Holy Grill,aBHpHQCgpPvBRQvK7ySLIA,"Good burger and great fries. 
Service was great 
Ambiance cute quaint place 
Nice they offer 2 sizes of burgers.",np6q0f3yDbomsKijG3O6vw,Lena C.,5.0
The Holy Grill,aBHpHQCgpPvBRQvK7ySLIA,Wow this chicken burger was delicious. They have gluten free bread that is very soft and yummy. The service was wonderful. The only reason I give this 4...,na9Efr4-GhdAvOf-wRIW7w,Mariam W.,4.0
The Holy Grill,aBHpHQCgpPvBRQvK7ySLIA,Change of ownership I think. The portions seem to be getting progressively smaller unfortunately. I get the chicken wrap w/ bacon & tomato very good....,gn7FVyXXDXYMkcRZQGNQ9g,Carl P.,3.0
Bonterra Trattoria,8E_EuXDOFmwGLbDVwkO21g,Visited fam in Calgary and they brought us here. The gnocchi and tiramisu were top notch! Waiter was knowledgeable and made great suggestions as well.,31ZSqMjrNcWDo4QImB7ryQ,Jordan D.,4.0
Bonterra Trattoria,8E_EuXDOFmwGLbDVwkO21g,We came here to celebrate our anniversary and   hubby wanted to try Bonterra's.  It's been years since I've been here to be honest and the last time I was...,LaSNbYWlaRwxuCICO4-yQQ,Jeannine N.,3.0
Bonterra Trattoria,8E_EuXDOFmwGLbDVwkO21g,"Very good, 8 people for lunch on a Thursday. Seats maybe 75?

Portions were double what one person could eat. Go to share. $70 for 1 no wine. Yikes.",5P_eJ6fHecXKvrZphXsIpQ,Mike L.,4.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"My dining experience at this steakhouse was amazing. 
The decor exuded elegance, with dim lighting casting a warm glow over plush furnishings and tasteful...",-ypNrWX4v4wzBK6OB-OPlg,Chelsea V.,5.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"I visited Hy's in Calgary awhile back. Overall, this restaurant has a nice atmosphere/decor. The Canadian Black Angus bone-in rib steak was good (the...",6EHUYIyEb-biAOAGRBqEpg,Andy L.,4.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"Food was great!  Got oysters Rockefeller and ahi tuna for the starters - fresh and tasty.  Bone in rib was perfectly done, and went well with the ""only""...",Izf1iPrktnvCCn20WdpN_Q,Jess C.,5.0
Hy's Steakhouse & Cocktail Bar,qps2ITpg3DZi4RzN7YYUSQ,"Just perfect,
We will eat there whenever we are in Toronto. 
Food, service, atmosphere, everything was just right.",Ph0qH3t2TneNtszNrg-FiQ,Arthur F.,5.0
Hy's Steakhouse & Cocktail Bar,qps2ITpg3DZi4RzN7YYUSQ,"3.5 stars

The ambiance of this place is cool, dark, mysterious...reminds me of an old school cigar lounge almost. .  All things I'm looking for when I...",Kj9cFO70zZOQorN0mgeLWA,Faiza K.,3.0
Hy's Steakhouse & Cocktail Bar,qps2ITpg3DZi4RzN7YYUSQ,"We decided to do a date night at this icon steak house on Bay in TO and it was everything we expected. The wait staff were attentive and polite, i...",SoHnbbTKn0R3l4ibYwfNXw,Alexander B.,4.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,There were four people in our group when we went to Murrieta's. Three of them are big wine aficionados. We had been in Canada for 12 days and eaten out at...,VjjW4DJOrF_33MOOtX2PqQ,Cara B.,5.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"I am in town for whole week for business meeting. One of my colleagues was craving for Alberta steak, so we came to this place. I ordered New York steak at...",MaRHn1fHEUO87NAuvFk5-w,Philip Y.,3.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,Did the YYC Expo food menu at Murrieta's. The food gastronomy experience was phenomenal. It was a 4 course meal with 2 options on the 3&4 courses. The...,26hVwPGJ631SwLcM7VBLKw,Mark N.,5.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"Happy hour from 2-5pm, all dishes are $10. Great selection of dishes from sushi to ramen to calamari. Everything was so flavorful and tasty. The calamari...",TsXpCfmY3N5ItjVjRvNRKg,Karen K.,4.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"0 star rating.

Not a place you want to visit. 

The staff are inattentive.

The food, well, Sobeys take-out is better.

ZERO ambiance, the music .",5K0uWRy7t8xvSaxCc3qz7g,Bill G.,1.0
Hy's Steakhouse & Cocktail Bar,smrnVFT6UvNTPGqThtoYhA,"Friendly staff, very nice and clean restaurant, amazing happy hour!

I got the Spicy Lamb Ramen with an Aji Tama Egg. The broth was a solid medium spicy,...",6aJEsl-9rT20wW9Duzytug,Owais A.,5.0
Hy's Steakhouse & Cocktail Bar,gzBfDVHNVsNSXNSR-rZWFw,Excellent food and service.  Very authentic.   Owners are very nice.  There are 2 locations Dundas and Ancaster.  Both are very good but we prefer Ancaster...,ifYeLeHdXazJHruMV4t0bQ,Tammy F.,5.0
Hy's Steakhouse & Cocktail Bar,gzBfDVHNVsNSXNSR-rZWFw,"Delicious, hearty food.  Nice bright spot right in the heart of our favorite town! Not cheap, but fair value.  Friendly, efficient service.  Reliably good.",wN6jjV74IEJdoILLc6yjjA,Rick R.,5.0
Hy's Steakhouse & Cocktail Bar,gzBfDVHNVsNSXNSR-rZWFw,Awesome Takeout. Food was delicious and fresh. Would definitely order again. Very favourable.,_OJG8rI2ZP4MiVC3L3cfeQ,Globe T.,5.0
Ke Charcoal Grill & Sushi,RB5-T39Ar2RqfG8DlTWLSQ,Been here twice at the recommendation of a friend and this place has never let me down. Wagyu was amazing and all the a la carte sashimi and rolls! Would...,WMPMG8yV0brYYuOkDOPTUA,Salina T.,5.0
Ke Charcoal Grill & Sushi,RB5-T39Ar2RqfG8DlTWLSQ,"Met a friend here in the summer and we tried a variety of items. We sat on the patio which was very chill and enjoyed our rolls, beef tongue, chicken...",6HiNmIPCp8jweq_zPvLg_Q,MJ L.,4.0
Ke Charcoal Grill & Sushi,RB5-T39Ar2RqfG8DlTWLSQ,"This is my new favourite spot !
I have ordered from them numerous times , the food is consistently good.
Lately , I have gone and eaten in, the service is...",A4bpHuvzaQt9-XAg8e9Msw,A M.,5.0
South Silk Road Chinese Restaurant,6a27i3kNy5MCq73vEQTNOA,"Different from other Chinese restaurant in town, the South Silk Road brings to customs a different southern China combination, YunNan and Sichuan styles....",mGca3sLK1cw4_QnL8Wbh8Q,Zhao Z.,5.0
South Silk Road Chinese Restaurant,6a27i3kNy5MCq73vEQTNOA,"When we first saw the menu, I was surprised 90% of the items on the menu had chilli pepper beside it. What attracted me to come here was the high stars...",jpIGlAym6z88W2xzHiK5_A,Denise W.,4.0
South Silk Road Chinese Restaurant,6a27i3kNy5MCq73vEQTNOA,food quality is good. cooking is interesting and tasteful! very nice experience. highly recommenfed.,wKgistEASzvfu-1HZnyMOQ,Ym F.,5.0
Tamarind Vietnamese Grill & Noodle House,Vw22cpZ0LzUTxbrZE6bdMg,"My husband and I stumbled upon Tamarind by accident knowing nothing about it other than we were craving Vietnamese food. Once I started reading the menu, it...",Vc4QSYKAOf8NXriGXo919Q,Laurel B.,5.0
Tamarind Vietnamese Grill & Noodle House,Vw22cpZ0LzUTxbrZE6bdMg,Checked out the reviews on Yelp and stumbled into this Vietnamese restaurant without knowing it's vegetarian/vegan. Since we have already paid for parking...,ipWGIUoVWNqkontzz1tZtw,Lav L.,4.0
Tamarind Vietnamese Grill & Noodle House,Vw22cpZ0LzUTxbrZE6bdMg,"I have bean thinking about Tamarind ever since my last meal there. 

Lettuce celebrate whenever you get a chance to visit Tamarind! The owners are a kind...",7_RaCe5zzPBYWm9znlffUA,Joyce L.,5.0
Hayden Block Smoke & Whiskey,EZ3vflgYwoBAJDrhc0TCbw,"came here with a group of lesbians. food was good. service was great. atmosphere was fun!! good music, rock & roll!!!  highly recommend the deep fried...",-EMIdnCVKvDTsxU71hiwRQ,Sam B.,5.0
Hayden Block Smoke & Whiskey,EZ3vflgYwoBAJDrhc0TCbw,Let's start with the trendy charming ambience: the large quasi-communal table and the understated decor give the place a welcoming atmosphere equidistant...,b1_x4dlMKuA8R-i9caqbuQ,Giacomo L.,3.0
Hayden Block Smoke & Whiskey,EZ3vflgYwoBAJDrhc0TCbw,Holy cow this place was so good-- the meat. Wow. I had the pork belly bites and split the beef rib. Probably one of the better beef ribs I've had. The pork...,hpaJSvcL9XWIs1UmyfNWGw,Brittany N.,5.0
Sucre Patisserie & Cafe,S6ZIoExUZrvSsxXaCuEkJw,This Bakery specialty is there almond croissant. It is neither dry nor too moist. The balance of almond and well-made croissant is a delight to consume.,dkOLjJo0MChVskK9-MjdHw,A W.,5.0
Sucre Patisserie & Cafe,S6ZIoExUZrvSsxXaCuEkJw,"Ordered in chocolate obsession and Black Forest pastry!! 


It was amazing!
Super moist
The chocolate one was dense and flavorful probably one of the best...",oXsWHgGSQSGT8yrdlDTlOA,Nikita K.,5.0
Sucre Patisserie & Cafe,S6ZIoExUZrvSsxXaCuEkJw,Delicious selection of pastries and desserts at a reasonable price. All beautifully prepared and presented.,PAmnxfZyJq-96VXKvqE3DA,Amanda D.,4.0
Moxies,-hBRP99YCr_8Xb8WG5YQmg,Visited on a Saturday night for dinner with my family. Moderate noise but easy to talk to others. Nice views of the city if you're by the window. The waiter...,xD3SH86ZTdJI2ELw88okWA,Caroline N.,5.0
Moxies,-hBRP99YCr_8Xb8WG5YQmg,"Great experience. This is a new, modern and fun restaurant to dine at in downtown Calgary!

It has changed so much and has come a long way from 20 years ago...",rSH9s6ZQJnVsFrKnvYiQ3g,Nat P.,5.0
Moxies,-hBRP99YCr_8Xb8WG5YQmg,Our party of four was seated promptly and greeted and served by Jen. She was very friendly and very attentive. She gave us recommendations and when the food...,gtmYMrbneRKMuNMhVnoypg,Warren B.,5.0
Moxies,tg-mb8N8xMU36HQUykc0CA,"We were in town for a volleyball tournament and went for dinner.  We had a reservation but had a bit of a wait for our table and again, for our food.  This...",eA_jtk2zCL7ITtYAHj39KA,Lana E.,5.0
Moxies,tg-mb8N8xMU36HQUykc0CA,"A belated review of New Years Eve.

Usually you would find it difficult to book a table on this date so we booked ahead and chose Moxies because they had a...",l_S519ZaqZiv2Bj14TlU0w,Caryl M.,2.0
Moxies,tg-mb8N8xMU36HQUykc0CA,Moxie's is back!  Enjoyed a great dinner with great service at the Bar from Mathias.  I have to say all of the one star reviews had me nervous.  Received a...,CKkKxmglqY761am1pZyBpQ,Bella P.,5.0
Moxies,NsEHZ2XPs76mRpQpFnBDZA,"4 star sports bar experience. Sports bars can be quirky. Limited seating with limited good views of the game, good beer but poor food, you get the point....",ZjtIyvR0LDTo4rx4C0ZEgw,Bill R.,4.0
Moxies,NsEHZ2XPs76mRpQpFnBDZA,"3.5/5, +.5 for service

Shark Club actually does its job very well for a downtown bar. Sadly unless there's a concert going on or a major game is showing on...",1kNsEAhGU8d8xugMuXJGFA,Calvin S.,4.0
Moxies,NsEHZ2XPs76mRpQpFnBDZA,"Please, PLEASE teach your staff about beers.  A revolving IPA was a saison. When I brought it to the attention of the server she was like a deer in...",4rq4oRlVJsb1GUs2sEvlAg,Rob E.,3.0
Moxies,qjIBf1lNxAA5VechMikXrg,came here for the white chocolate brownie which is incredible. it's pretty sweet but definitely satisfies any dessert craving and is easily shared with...,hezdL9aDMd-kiC94q8kQWA,Rohan S.,3.0
Moxies,qjIBf1lNxAA5VechMikXrg,Save your time and money and go literally anywhere else. The service is SHIT. We had four servers working on our table and waited over 15 minutes for 2...,vOrCmlTIGyvccWVYFGtkLA,Joseph F.,1.0
Moxies,qjIBf1lNxAA5VechMikXrg,"Food was ok, nothing special.
Service could be better, the local was not busy but it took a little long to have a waitress helping us, when she did, we was...",IkuhuAVhv4NWKPa2dNewdQ,Danyel P.,4.0
